ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
42003,Renate Gtschl,F,30,165,68,Austria,AUT,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Super G,NA
42019,Felix Gottwald,M,18,179,68,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,NA
42019,Felix Gottwald,M,18,179,68,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,NA
42019,Felix Gottwald,M,22,179,68,Austria,AUT,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Team,NA
42019,Felix Gottwald,M,22,179,68,Austria,AUT,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Individual,NA
42019,Felix Gottwald,M,26,179,68,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Bronze
42019,Felix Gottwald,M,26,179,68,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Individual,Bronze
42019,Felix Gottwald,M,26,179,68,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Bronze
42019,Felix Gottwald,M,30,179,68,Austria,AUT,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Gold
42019,Felix Gottwald,M,30,179,68,Austria,AUT,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Individual,Silver
42019,Felix Gottwald,M,30,179,68,Austria,AUT,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Sprint,Gold
42019,Felix Gottwald,M,34,179,68,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Normal Hill / 10 km, Individual",NA
42019,Felix Gottwald,M,34,179,68,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",NA
42019,Felix Gottwald,M,34,179,68,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Gold
42169,Michael Rene Grabner,M,26,186,85,Austria,AUT,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
42170,"Siegfried Josef ""Sigi"" Grabner",M,23,180,80,Austria,AUT,1998 Winter,1998,Winter,Nagano,Snowboarding,Snowboarding Men's Giant Slalom,NA
42170,"Siegfried Josef ""Sigi"" Grabner",M,27,180,80,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Men's Parallel Giant Slalom,NA
42170,"Siegfried Josef ""Sigi"" Grabner",M,31,180,80,Austria,AUT,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Bronze
42170,"Siegfried Josef ""Sigi"" Grabner",M,35,180,80,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Parallel Giant Slalom,NA
42232,Albert Graf,M,24,179,83,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Luge,Luge Men's Singles,NA
42582,Christian Greber,M,30,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,NA
42601,Ludwig Gredler,M,24,181,79,Austria,AUT,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 10 kilometres Sprint,NA
42601,Ludwig Gredler,M,24,181,79,Austria,AUT,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,NA
42601,Ludwig Gredler,M,26,181,79,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,NA
42601,Ludwig Gredler,M,26,181,79,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,NA
42601,Ludwig Gredler,M,26,181,79,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,NA
42601,Ludwig Gredler,M,30,181,79,Austria,AUT,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 10 kilometres Sprint,NA
42601,Ludwig Gredler,M,30,181,79,Austria,AUT,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 20 kilometres,NA
42601,Ludwig Gredler,M,30,181,79,Austria,AUT,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,NA
42601,Ludwig Gredler,M,34,181,79,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,NA
42601,Ludwig Gredler,M,34,181,79,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,NA
42601,Ludwig Gredler,M,34,181,79,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,NA
42601,Ludwig Gredler,M,34,181,79,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,NA
42601,Ludwig Gredler,M,38,181,79,Austria,AUT,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,NA
42601,Ludwig Gredler,M,38,181,79,Austria,AUT,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,NA
42601,Ludwig Gredler,M,38,181,79,Austria,AUT,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,NA
42601,Ludwig Gredler,M,38,181,79,Austria,AUT,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,NA
42656,"Kelvin ""Kelly"" Greenbank",M,28,182,79,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
42656,"Kelvin ""Kelly"" Greenbank",M,32,182,79,Austria,AUT,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
43039,Werner Grissmann,M,28,183,86,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill,NA
43198,Ferdinand Grssing,M,31,NA,NA,Austria-1,AUT,1984 Winter,1984,Winter,Sarajevo,Bobsleigh,Bobsleigh Men's Four,NA
43244,Alfred Groyer,M,21,177,70,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",NA
